SPECIES_BULBASAUR : MAX(30, 50) ; MIN(41, 18)
SPECIES_IVYSAUR : MAX(37, 54) ; MIN(32, 8)
SPECIES_VENUSAUR : MAX(50, 60) ; MIN(21, 4)
SPECIES_CHARMANDER : MAX(34, 53) ; MIN(23, 12)
SPECIES_CHARMELEON : MAX(18, 56) ; MIN(22, 6)
SPECIES_CHARIZARD : MAX(43, 63) ; MIN(22, 0)
SPECIES_SQUIRTLE : MAX(34, 52) ; MIN(24, 14)
SPECIES_WARTORTLE : MAX(39, 56) ; MIN(15, 7)
SPECIES_BLASTOISE : MAX(16, 60) ; MIN(35, 6)
SPECIES_CATERPIE : MAX(36, 51) ; MIN(18, 19)
SPECIES_METAPOD : MAX(36, 49) ; MIN(18, 16)
SPECIES_BUTTERFREE : MAX(30, 53) ; MIN(31, 7)
SPECIES_WEEDLE : MAX(33, 50) ; MIN(22, 15)
SPECIES_KAKUNA : MAX(29, 52) ; MIN(28, 14)
SPECIES_BEEDRILL : MAX(47, 58) ; MIN(50, 5)
SPECIES_PIDGEY : MAX(33, 51) ; MIN(28, 13)
SPECIES_PIDGEOTTO : MAX(29, 57) ; MIN(18, 7)
SPECIES_PIDGEOT : MAX(24, 61) ; MIN(1, 1)
SPECIES_RATTATA : MAX(30, 50) ; MIN(35, 12)
SPECIES_RATICATE : MAX(23, 57) ; MIN(42, 7)
SPECIES_SPEAROW : MAX(23, 51) ; MIN(31, 13)
SPECIES_FEAROW : MAX(20, 63) ; MIN(2, 0)
SPECIES_EKANS : MAX(28, 53) ; MIN(24, 12)
SPECIES_ARBOK : MAX(20, 62) ; MIN(24, 3)
SPECIES_PIKACHU : MAX(35, 54) ; MIN(19, 9)
SPECIES_RAICHU : MAX(39, 60) ; MIN(33, 4)
SPECIES_SANDSHREW : MAX(38, 52) ; MIN(20, 14)
SPECIES_SANDSLASH : MAX(44, 57) ; MIN(20, 8)
SPECIES_NIDORAN_F : MAX(32, 50) ; MIN(23, 18)
SPECIES_NIDORINA : MAX(43, 55) ; MIN(14, 12)
SPECIES_NIDOQUEEN : MAX(41, 61) ; MIN(37, 3)
SPECIES_NIDORAN_M : MAX(33, 51) ; MIN(22, 13)
SPECIES_NIDORINO : MAX(41, 55) ; MIN(16, 10)
SPECIES_NIDOKING : MAX(45, 61) ; MIN(32, 4)
SPECIES_CLEFAIRY : MAX(36, 51) ; MIN(30, 16)
SPECIES_CLEFABLE : MAX(35, 57) ; MIN(10, 8)
SPECIES_VULPIX : MAX(26, 52) ; MIN(20, 14)
SPECIES_NINETALES : MAX(24, 60) ; MIN(31, 3)
SPECIES_JIGGLYPUFF : MAX(37, 49) ; MIN(22, 14)
SPECIES_WIGGLYTUFF : MAX(35, 59) ; MIN(14, 3)
SPECIES_ZUBAT : MAX(18, 47) ; MIN(47, 11)
SPECIES_GOLBAT : MAX(23, 56) ; MIN(1, 5)
SPECIES_ODDISH : MAX(31, 49) ; MIN(33, 15)
SPECIES_GLOOM : MAX(38, 52) ; MIN(31, 12)
SPECIES_VILEPLUME : MAX(38, 56) ; MIN(24, 5)
SPECIES_PARAS : MAX(31, 49) ; MIN(22, 17)
SPECIES_PARASECT : MAX(34, 56) ; MIN(37, 9)
SPECIES_VENONAT : MAX(34, 55) ; MIN(32, 6)
SPECIES_VENOMOTH : MAX(29, 54) ; MIN(1, 11)
SPECIES_DIGLETT : MAX(33, 46) ; MIN(30, 21)
SPECIES_DUGTRIO : MAX(30, 52) ; MIN(30, 11)
SPECIES_MEOWTH : MAX(38, 53) ; MIN(25, 9)
SPECIES_PERSIAN : MAX(24, 59) ; MIN(3, 8)
SPECIES_PSYDUCK : MAX(36, 52) ; MIN(35, 10)
SPECIES_GOLDUCK : MAX(40, 61) ; MIN(24, 3)
SPECIES_MANKEY : MAX(36, 52) ; MIN(10, 13)
SPECIES_PRIMEAPE : MAX(40, 57) ; MIN(15, 7)
SPECIES_GROWLITHE : MAX(26, 52) ; MIN(42, 13)
SPECIES_ARCANINE : MAX(4, 61) ; MIN(13, 1)
SPECIES_POLIWAG : MAX(36, 50) ; MIN(25, 17)
SPECIES_POLIWHIRL : MAX(40, 54) ; MIN(22, 12)
SPECIES_POLIWRATH : MAX(44, 57) ; MIN(23, 9)
SPECIES_ABRA : MAX(40, 53) ; MIN(40, 13)
SPECIES_KADABRA : MAX(40, 58) ; MIN(16, 7)
SPECIES_ALAKAZAM : MAX(17, 61) ; MIN(21, 3)
SPECIES_MACHOP : MAX(15, 53) ; MIN(30, 10)
SPECIES_MACHOKE : MAX(16, 59) ; MIN(30, 4)
SPECIES_MACHAMP : MAX(50, 63) ; MIN(44, 0)
SPECIES_BELLSPROUT : MAX(20, 51) ; MIN(25, 12)
SPECIES_WEEPINBELL : MAX(21, 52) ; MIN(18, 12)
SPECIES_VICTREEBEL : MAX(13, 57) ; MIN(32, 5)
SPECIES_TENTACOOL : MAX(38, 56) ; MIN(36, 10)
SPECIES_TENTACRUEL : MAX(18, 59) ; MIN(30, 5)
SPECIES_GEODUDE : MAX(31, 44) ; MIN(47, 17)
SPECIES_GRAVELER : MAX(23, 54) ; MIN(26, 15)
SPECIES_GOLEM : MAX(49, 57) ; MIN(28, 8)
SPECIES_PONYTA : MAX(25, 57) ; MIN(21, 7)
SPECIES_RAPIDASH : MAX(19, 63) ; MIN(15, 0)
SPECIES_SLOWPOKE : MAX(47, 47) ; MIN(15, 21)
SPECIES_SLOWBRO : MAX(33, 59) ; MIN(16, 6)
SPECIES_MAGNEMITE : MAX(45, 43) ; MIN(31, 19)
SPECIES_MAGNETON : MAX(20, 56) ; MIN(23, 8)
SPECIES_FARFETCHD : MAX(35, 56) ; MIN(28, 9)
SPECIES_DODUO : MAX(37, 56) ; MIN(41, 8)
